open_time,close_time,open,high,low,close,tick_volume,spread
2026-09-18T14:00:00Z,2026-09-18T14:01:00Z,1.1000,1.1010,1.0990,1.1008,120,0.0001
2026-09-18T14:01:00Z,2026-09-18T14:02:00Z,1.1000,1.1010,1.0990,1.1008,120,0.0001
2026-09-18T14:02:00Z,2026-09-18T14:03:00Z,1.1000,1.1010,1.0990,1.1008,120,0.0001
2026-09-18T14:03:00Z,2026-09-18T14:04:00Z,1.1000,1.1010,1.0990,1.0992,120,0.0001
2026-09-18T14:04:00Z,2026-09-18T14:05:00Z,1.1000,1.1010,1.0990,1.1000,120,0.0001
2026-09-18T14:05:00Z,2026-09-18T14:06:00Z,1.1000,1.1010,1.0990,1.1008,120,0.0001
2026-09-18T14:06:00Z,2026-09-18T14:07:00Z,1.1000,1.1010,1.0990,1.1008,120,0.0001
2026-09-18T14:07:00Z,2026-09-18T14:08:00Z,1.1000,1.1010,1.0990,1.1008,120,0.0001
2026-09-18T14:08:00Z,2026-09-18T14:09:00Z,1.1000,1.1010,1.0990,1.0992,120,0.0001
2026-09-18T14:09:00Z,2026-09-18T14:10:00Z,1.1000,1.1010,1.0990,1.1000,120,0.0001
2026-09-18T14:10:00Z,2026-09-18T14:11:00Z,1.1000,1.1010,1.0990,1.1008,120,0.0001
2026-09-18T14:11:00Z,2026-09-18T14:12:00Z,1.1000,1.1010,1.0990,1.1008,120,0.0001
2026-09-18T14:12:00Z,2026-09-18T14:13:00Z,1.1000,1.1010,1.0990,1.1008,120,0.0001
2026-09-18T14:13:00Z,2026-09-18T14:14:00Z,1.1000,1.1010,1.0990,1.0992,120,0.0001
2026-09-18T14:14:00Z,2026-09-18T14:15:00Z,1.1000,1.1010,1.0990,1.1000,120,0.0001
2026-09-19T14:00:00Z,2026-09-19T14:01:00Z,1.1000,1.1010,1.0990,1.1008,120,0.0001
2026-09-19T14:01:00Z,2026-09-19T14:02:00Z,1.1000,1.1010,1.0990,1.1008,120,0.0001
2026-09-19T14:02:00Z,2026-09-19T14:03:00Z,1.1000,1.1010,1.0990,1.1008,120,0.0001
2026-09-19T14:03:00Z,2026-09-19T14:04:00Z,1.1000,1.1010,1.0990,1.0992,120,0.0001
2026-09-19T14:04:00Z,2026-09-19T14:05:00Z,1.1000,1.1010,1.0990,1.1000,120,0.0001
2026-09-19T14:05:00Z,2026-09-19T14:06:00Z,1.1000,1.1010,1.0990,1.1008,120,0.0001
2026-09-19T14:06:00Z,2026-09-19T14:07:00Z,1.1000,1.1010,1.0990,1.1008,120,0.0001
2026-09-19T14:07:00Z,2026-09-19T14:08:00Z,1.1000,1.1010,1.0990,1.1008,120,0.0001
2026-09-19T14:08:00Z,2026-09-19T14:09:00Z,1.1000,1.1010,1.0990,1.0992,120,0.0001
2026-09-19T14:09:00Z,2026-09-19T14:10:00Z,1.1000,1.1010,1.0990,1.1000,120,0.0001
2026-09-19T14:10:00Z,2026-09-19T14:11:00Z,1.1000,1.1010,1.0990,1.1008,120,0.0001
2026-09-19T14:11:00Z,2026-09-19T14:12:00Z,1.1000,1.1010,1.0990,1.1008,120,0.0001
2026-09-19T14:12:00Z,2026-09-19T14:13:00Z,1.1000,1.1010,1.0990,1.1008,120,0.0001
2026-09-19T14:13:00Z,2026-09-19T14:14:00Z,1.1000,1.1010,1.0990,1.0992,120,0.0001
2026-09-19T14:14:00Z,2026-09-19T14:15:00Z,1.1000,1.1010,1.0990,1.1000,120,0.0001
